,Player,Season,Games Played,Average PPG,Volatility PPG,Average FTA,Average FTPER,Average FTS,nbaBB Sharpe,FTA PTS Correlation,FTA PTS Covariance,nbaBB Sharpe2,Average PPGM,Average FTAM,Volatility PPGM,Volatility MIN,nbaBB Sharpe3
0,James Harden,2017,72,30.430555555555557,9.104068670546411,10.097222222222221,0.8583638243564713,0.28547644986500054,2.233433651386657,0.5679174180490508,24.873043818466357,4.077031930878173,0.854614166385126,0.2810781672024377,0.2210742331831454,3.58104470411073,2.5943140949743873
1,Anthony Davis,2017,75,28.133333333333333,9.4929213393747,7.973333333333334,0.8297350194409017,0.23363472069084598,2.1236876699252143,0.5972842099288974,25.73333333333333,3.974133985240368,0.769810511439798,0.21392150654658654,0.21814550838390104,6.61491916470304,2.5482486850700403
2,LeBron James,2017,82,27.451219512195124,7.934414757068113,6.475609756097561,0.7205537348830031,0.1766034532968859,2.643624060289025,0.3787176820313971,9.967931345980132,6.643731544653706,0.7457080441648515,0.17692775278335526,0.18961621402151002,5.000951723818367,2.9996395314430977
3,Giannis Antetokounmpo,2017,75,26.85333333333333,7.156709361772972,8.546666666666667,0.7723979338562671,0.2402154520986748,2.557972629774566,0.4552896809493631,13.635315315315314,4.957659337041504,0.730663149154699,0.2319078042647271,0.18493707318008765,4.892697506375076,2.6968921715566188
4,Damian Lillard,2017,73,26.876712328767123,7.856495795042419,7.36986301369863,0.9130086071987478,0.2522569401628581,2.4828943875178604,0.48339712465251994,15.129566210045661,5.015034107832101,0.7354051798386264,0.2017190220016962,0.21957329993734168,3.130668999481142,2.430560354966768
5,Kevin Durant,2017,68,26.352941176470587,7.541580240636015,5.9411764705882355,0.8756018083223962,0.2015791814577963,2.7065633533802904,0.5080858820597736,12.7225636523266,5.722597980034211,0.7661982741589217,0.1722178425335773,0.19200305721351055,4.1422322768398825,3.0935988220480706
6,Russell Westbrook,2017,80,25.35,8.673378811051666,7.075,0.7380823115000328,0.20935998367771663,2.1070220035488245,0.55169825526361,15.087341772151905,4.704906762351372,0.6941698867127659,0.1927907500848534,0.22362492772662373,3.7079096199880603,2.242053878898676
7,Kyrie Irving,2017,60,24.433333333333334,8.179989133380447,4.35,0.889695830485304,0.15857275272251062,2.4551784856752903,0.5041790552144317,11.455932203389834,5.933631603399889,0.7476747344220906,0.13175874288392647,0.23199523904306754,6.174679478860961,2.6548647898064224
8,LaMarcus Aldridge,2017,75,23.133333333333333,7.978860960201161,5.32,0.8516547462199636,0.1896809509393318,2.2325659542366845,0.5624230133443777,14.87567567567567,4.6185627035938825,0.6831124018558449,0.15584555491872243,0.18658360906669108,5.218871738433724,2.8259012116582
9,Victor Oladipo,2017,75,23.133333333333333,7.14858183293877,4.906666666666666,0.7904561010194809,0.1630270574843803,2.5496898675319097,0.6100380522159348,14.201801801801794,4.836548280809803,0.6773331246612254,0.14355512159956288,0.1803686276645724,4.868291966045861,2.9593727577409843
10,DeMar DeRozan,2017,80,23.0,9.027735042633894,6.9875,0.8238408597174829,0.24663950570268867,1.7737007039285304,0.5836423642700177,22.45569620253164,3.379059823323608,0.6709644197271681,0.20305805829388435,0.23036824892538357,4.0684763732876705,2.031123488657671
11,Joel Embiid,2017,63,22.936507936507937,6.6281578658313105,7.412698412698413,0.7647246817981111,0.24439687324875375,2.3421001487963973,0.6108643282211386,16.204045058883775,3.8564400481657737,0.751647018170404,0.23931091122840467,0.1631244722375116,5.41728149310244,3.1407679051125488
12,Bradley Beal,2017,82,22.646341463414632,8.573031952524875,4.5,0.7969626801769657,0.15822252642429455,2.1166772227030237,0.38892370302523316,11.648148148148145,5.316926245950741,0.616175878795597,0.1233812371531506,0.19955613407245834,5.496957137829424,2.469453740086556
13,Lou Williams,2017,79,22.556962025316455,8.157852217098949,6.215189873417722,0.8619288830827293,0.24327050326321195,2.003195414308462,0.5540187061554177,16.90425186627719,3.9746708846996945,0.6861210727092991,0.19024792351623293,0.212672223370872,5.132127021809368,2.331631001611009
14,Jimmy Butler,2017,59,22.152542372881356,7.880061858403926,7.203389830508475,0.8546560435449325,0.26864427105044864,1.897085684223394,0.633781201516193,24.261542957334896,3.0349907019978635,0.6021719904983841,0.1979044069509248,0.1927024007642216,4.952692024328618,2.09788555795989
15,Kemba Walker,2017,80,22.125,8.557708513381371,5.25,0.8431022934447591,0.20563243794155453,1.9719063781634054,0.4648815111866404,14.740506329113924,4.3952904628100375,0.6446075985171266,0.1513982046433147,0.23669390085768863,4.385327097264239,2.08374356959182
16,Paul George,2017,79,21.949367088607595,8.273640825586735,5.2025316455696204,0.8096295294211957,0.19659386276043903,2.024119223455697,0.4709444674305483,13.805258033106135,4.507237974513302,0.6020304237260871,0.14102693186716367,0.22398539070117784,4.170958106214239,2.058185537975353
17,Blake Griffin,2017,58,21.413793103448278,6.321922674473439,5.689655172413793,0.7801740683558867,0.2138171705663572,2.487239838368344,0.46837818067012077,8.832425892316998,5.2908669894674345,0.6284845565609488,0.17003227588744926,0.1630790739453112,4.963391546920116,2.81122690718272
18,CJ McCollum,2017,81,21.382716049382715,7.32586808783503,3.0864197530864197,0.8184765055732796,0.11935052262149026,2.4974919118019896,0.4976458934086808,10.379012345679016,5.679173942221336,0.5944176886286182,0.08413236468458768,0.21369888213542576,2.993820796734995,2.387870815443253
19,Karl-Anthony Towns,2017,82,21.25609756097561,7.685607352755263,4.902439024390244,0.8587823725981619,0.20401097100995502,2.1278290427785955,0.5116731970664387,12.272207166516107,4.668244416970811,0.5951402778368406,0.13875720815948434,0.1916673989925365,5.262643764612831,2.3811199613301364
20,Donovan Mitchell,2017,79,20.455696202531644,8.435604873308918,3.759493670886076,0.780257801899593,0.13853041779028774,1.9792537443845897,0.5870968419642629,14.893054203180782,4.326391525117156,0.5983348010542475,0.10703839917608701,0.22481881169368975,6.0431339579698955,2.1852993447342843
21,Khris Middleton,2017,82,20.146341463414632,7.121115888198902,4.414634146341464,0.8768213146502619,0.19924969805019876,2.2091632216158317,0.4624680144837618,9.284251731406204,5.163003319297621,0.5519131612627446,0.12126548110997125,0.17966170956666225,4.269059164628731,2.396991997857978
22,Klay Thompson,2017,73,20.013698630136986,6.332116767597648,1.3424657534246576,0.8090277777777779,0.05656830651339367,2.9486558068947355,0.2805643051952721,2.9396879756468803,10.88986203666494,0.5874630426916703,0.0381589887563372,0.18782628177797292,3.447376695393172,2.924532438887644
23,T.J. Warren,2017,65,19.553846153846155,7.512104630283804,3.923076923076923,0.733044733044733,0.15913308088930822,2.080744345300567,0.43184671221156173,9.32451923076923,5.118787807402162,0.5849963087443748,0.12000974958015834,0.1852151567217052,6.326313975824315,2.5105211009425172
24,Jrue Holiday,2017,81,18.97530864197531,7.780912556595282,2.9382716049382718,0.7780122655122653,0.12786632541733167,2.061074060451132,0.3157944537145174,5.560956790123458,6.800633523017227,0.5240018201354496,0.08136956404241112,0.2017924951214405,4.478708797750361,2.1935020716536484
25,Harrison Barnes,2017,77,18.857142857142858,5.467054302439807,4.064935064935065,0.8336187505305153,0.17929578138660962,2.7056998108847043,0.3462589063234741,5.312030075187969,6.418044681979,0.5497466760979205,0.11792289621090629,0.14865353548699609,3.228938136752786,2.904900838532624
26,Tobias Harris,2017,80,18.575,6.623396032248109,2.7,0.8167737280640505,0.1276444266573023,2.396806701986038,0.33920629927845475,5.681012658227848,6.660408332826313,0.5565186153547333,0.08095622639884278,0.1880952655993728,4.453580020612631,2.5283060019639114
27,Chris Paul,2017,58,18.637931034482758,7.7408416985583886,3.810344827586207,0.9010971055088702,0.18709919562499497,1.915500508124066,0.548072734841248,12.912583182093162,4.126329374597236,0.5832527792712127,0.11795758709382309,0.22768505447498133,4.034666957186209,2.043591281168247
28,Eric Gordon,2017,69,18.014492753623188,7.624317985413588,3.4927536231884058,0.8167460317460316,0.17513647153656633,1.904660739257852,0.3685858672686767,7.404518329070761,5.336668477199373,0.5651308241913043,0.11070066552180653,0.22277359801115976,5.347570788454711,2.039874395918017
